#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  2.25901435e-02   0.00000000e+00   2.23351075e-02  -1.61870142e-22   2.16755352e-20   5.72957795e+05   1.03340981e+00   2.82001893e-17
  2.27311109e-02   0.00000000e+00   2.24728909e-02   3.60390590e-23  -7.14174233e-16   5.72957795e+05   1.03355626e+00  -8.32852839e-17
  2.28729580e-02   0.00000000e+00   2.26115142e-02   2.48059039e-23   7.05582187e-16   5.72957795e+05   1.03370365e+00  -4.13037760e-17
  2.30156903e-02   0.00000000e+00   2.27509825e-02   7.19488800e-24  -3.90717402e-16   5.72957795e+05   1.03385198e+00  -7.36993894e-17
  2.31593132e-02   0.00000000e+00   2.28913008e-02   6.03758102e-24  -3.73820593e-16   5.72957795e+05   1.03400126e+00   1.06467005e-16
  2.33038324e-02   0.00000000e+00   2.30324741e-02   2.10683761e-23  -1.06184362e-16   5.72957795e+05   1.03415149e+00   9.66996818e-17
  2.34492534e-02   0.00000000e+00   2.31745076e-02  -8.31524021e-24   4.21301886e-16   5.72957795e+05   1.03430268e+00   4.71004039e-17
  2.35955819e-02   0.00000000e+00   2.33174063e-02  -6.85802222e-23   8.79673138e-21   5.72957795e+05   1.03445484e+00   3.99992555e-17
  2.37428234e-02   0.00000000e+00   2.34611753e-02   3.65578971e-23  -4.66053593e-21   5.72957795e+05   1.03460796e+00  -5.70334585e-17
  2.38909838e-02   0.00000000e+00   2.36058199e-02   1.86810736e-23   3.97259901e-16   5.72957795e+05   1.03476207e+00  -4.42519151e-17
  2.40400688e-02   0.00000000e+00   2.37513452e-02   3.39279067e-23  -1.38315444e-16   5.72957795e+05   1.03491716e+00   5.16585267e-17
  2.41900841e-02   0.00000000e+00   2.38977565e-02  -6.16773822e-23  -2.51161900e-16   5.72957795e+05   1.03507324e+00  -5.35611418e-17
  2.43410355e-02   0.00000000e+00   2.40450590e-02   5.98339269e-23  -2.51215167e-16   5.72957795e+05   1.03523032e+00   1.34228016e-17
  2.44929289e-02   0.00000000e+00   2.41932580e-02  -3.59540102e-23   2.51250519e-16   5.72957795e+05   1.03538840e+00   1.73944634e-17
  2.46457701e-02   0.00000000e+00   2.43423588e-02   1.93657627e-25  -1.07815132e-16   5.72957795e+05   1.03554750e+00   1.18642827e-17
  2.47995651e-02   0.00000000e+00   2.44923667e-02   3.74579503e-23   5.04823118e-17   5.72957795e+05   1.03570761e+00   1.51366468e-16
  2.49543198e-02   0.00000000e+00   2.46432871e-02  -1.33070154e-23   1.61510657e-21   5.72957795e+05   1.03586874e+00   9.32996587e-18
  2.51100402e-02   0.00000000e+00   2.47951255e-02  -1.85153459e-23   3.37293734e-16   5.72957795e+05   1.03603091e+00  -3.86460945e-17
  2.52667323e-02   0.00000000e+00   2.49478872e-02   3.26962583e-23  -3.30200877e-16   5.72957795e+05   1.03619411e+00  -1.16444373e-16
  2.54244023e-02   0.00000000e+00   2.51015777e-02   3.52214326e-23   2.51477181e-16   5.72957795e+05   1.03635836e+00   3.32829055e-17
  2.55830561e-02   0.00000000e+00   2.52562026e-02   2.08366361e-23   8.09274247e-21   5.72957795e+05   1.03652366e+00  -1.55338859e-16
  2.57427000e-02   0.00000000e+00   2.54117672e-02  -7.35723978e-24   8.65982707e-22   5.72957795e+05   1.03669001e+00  -5.46922600e-17
  2.59033400e-02   0.00000000e+00   2.55682773e-02  -4.33284691e-23   5.06877643e-21   5.72957795e+05   1.03685743e+00  -1.88965469e-17
  2.60649825e-02   0.00000000e+00   2.57257383e-02   7.00784088e-24  -5.47633143e-16   5.72957795e+05   1.03702593e+00   1.28803316e-17
  2.62276337e-02   0.00000000e+00   2.58841559e-02  -2.34709885e-23  -2.51681753e-16   5.72957795e+05   1.03719550e+00   1.48741778e-16
  2.63912999e-02   0.00000000e+00   2.60435358e-02  -1.21267040e-23  -7.55177141e-16   5.72957795e+05   1.03736616e+00  -3.89977162e-17
  2.65559874e-02   0.00000000e+00   2.62038835e-02  -1.92538955e-23   2.19782349e-21   5.72957795e+05   1.03753791e+00   7.10494213e-17
  2.67217025e-02   0.00000000e+00   2.63652049e-02  -1.73422482e-24  -2.51809271e-16   5.72957795e+05   1.03771076e+00  -2.50916874e-17
  2.68884518e-02   0.00000000e+00   2.65275056e-02  -3.82535480e-23   2.63796530e-16   5.72957795e+05   1.03788472e+00   9.06304877e-17
  2.70562416e-02   0.00000000e+00   2.66907915e-02   3.43514174e-23   2.40510906e-16   5.72957795e+05   1.03805979e+00   8.49098757e-17
  2.72250784e-02   0.00000000e+00   2.68550683e-02  -2.90760370e-23   5.03391188e-16   5.72957795e+05   1.03823599e+00   9.80150564e-17
  2.73949689e-02   0.00000000e+00   2.70203419e-02   7.27351923e-24  -4.84192757e-16   5.72957795e+05   1.03841332e+00   9.33507840e-17
  2.75659195e-02   0.00000000e+00   2.71866181e-02  -4.40130616e-23   2.52028905e-16   5.72957795e+05   1.03859178e+00  -8.08074324e-18
  2.77379368e-02   0.00000000e+00   2.73539029e-02   5.78759297e-23  -7.37629140e-16   5.72957795e+05   1.03877139e+00  -8.30945066e-17
  2.79110276e-02   0.00000000e+00   2.75222021e-02  -7.53845689e-25   4.30823107e-16   5.72957795e+05   1.03895214e+00  -9.02522160e-17
  2.80851985e-02   0.00000000e+00   2.76915218e-02  -2.92064048e-23  -2.82436278e-16   5.72957795e+05   1.03913406e+00  -1.06044989e-16
  2.82604563e-02   0.00000000e+00   2.78618679e-02  -7.27603420e-24   2.16167441e-16   5.72957795e+05   1.03931715e+00  -2.97669006e-18
  2.84368077e-02   0.00000000e+00   2.80332466e-02  -5.83956049e-23   6.23121433e-21   5.72957795e+05   1.03950141e+00  -5.01026498e-17
  2.86142596e-02   0.00000000e+00   2.82056637e-02   7.07829423e-23  -5.04585257e-16   5.72957795e+05   1.03968685e+00   5.44867916e-17
  2.87928189e-02   0.00000000e+00   2.83791255e-02   6.66310932e-23  -5.28796333e-17   5.72957795e+05   1.03987348e+00  -1.77415201e-16
  2.89724923e-02   0.00000000e+00   2.85536381e-02   2.63153654e-23  -2.75690403e-21   5.72957795e+05   1.04006132e+00  -1.46922376e-16
  2.91532870e-02   0.00000000e+00   2.87292075e-02  -2.77012705e-23   7.57281182e-16   5.72957795e+05   1.04025035e+00   4.83951199e-17
  2.93352099e-02   0.00000000e+00   2.89058402e-02  -1.10484251e-22   2.28470789e-16   5.72957795e+05   1.04044061e+00  -1.54232447e-16
  2.95182680e-02   0.00000000e+00   2.90835422e-02  -2.08292929e-23   4.30626966e-16   5.72957795e+05   1.04063208e+00  -3.44904767e-17
  2.97024685e-02   0.00000000e+00   2.92623198e-02   3.39471500e-23   4.11833861e-16   5.72957795e+05   1.04082478e+00   8.95770329e-17
  2.98878183e-02   0.00000000e+00   2.94421793e-02   3.75370721e-24   2.54400024e-16   5.72957795e+05   1.04101873e+00   1.23179700e-16
  3.00743249e-02   0.00000000e+00   2.96231272e-02  -9.02350362e-23   8.99126010e-17   5.72957795e+05   1.04121391e+00   6.15896680e-17
  3.02619952e-02   0.00000000e+00   2.98051696e-02  -1.02941503e-22   1.03321792e-20   5.72957795e+05   1.04141036e+00  -3.15187745e-17
  3.04508367e-02   0.00000000e+00   2.99883131e-02   2.48981896e-23  -1.52827134e-16   5.72957795e+05   1.04160806e+00  -2.64118387e-17
  3.06408566e-02   0.00000000e+00   3.01725641e-02  -8.07101793e-23   8.00230241e-21   5.72957795e+05   1.04180704e+00  -2.89440203e-17
  3.08320622e-02   0.00000000e+00   3.03579290e-02  -3.80377700e-23   1.43133283e-16   5.72957795e+05   1.04200730e+00   1.04012058e-18
  3.10244610e-02   0.00000000e+00   3.05444143e-02  -9.33656239e-23   1.38377844e-16   5.72957795e+05   1.04220885e+00   8.41283484e-17
